01.07.2016 16:52:44,UV: 5;
01.07.2016 16:52:44, Vorhermessung;
01.07.2016 16:52:52,   ; 887    ; 20,14944;
01.07.2016 16:52:53,   ; 866    ; 22,44994;
01.07.2016 16:52:54,   ; 864    ; 22,42209;
01.07.2016 16:52:54,   ; 840    ; 25,18928;
01.07.2016 16:52:55,   ; 856    ; 20,23611;
01.07.2016 16:52:56,   ; 848    ; 18,30983;
01.07.2016 16:52:57,   ; 874    ; 19,84943;
01.07.2016 16:52:58,   ; 887    ; 20,86265;
01.07.2016 16:52:59,   ; 899    ; 18,09005;
01.07.2016 16:52:59,   ; 882    ; 18,31666;
01.07.2016 16:53:00,   ; 869    ; 19,01973;
01.07.2016 16:53:01,   ; 849    ; 17,10994;
01.07.2016 16:53:02,   ; 832    ; 17,96524;
01.07.2016 16:53:03,   ; 759    ; 40,2368;
01.07.2016 16:53:03,   ; 749    ; 39,6453;
01.07.2016 16:53:04,   ; 756    ; 39,26513;
01.07.2016 16:53:05,   ; 786    ; 40,82585;
01.07.2016 16:53:06,   ; 819    ; 43,2059;
01.07.2016 16:53:07,   ; 840    ; 25,39193;
01.07.2016 16:53:07,   ; 885    ; 33,55592;
01.07.2016 16:53:08,   ; 887    ; 33,38787;
01.07.2016 16:53:09,   ; 840    ; 37,97367;
01.07.2016 16:53:10,   ; 797    ; 40,39802;
01.07.2016 16:53:11,   ; 794    ; 39,03844;
01.07.2016 16:53:11,   ; 807    ; 32,55764;
01.07.2016 16:53:12,   ; 835    ; 35,42598;
01.07.2016 16:53:13,   ; 832    ; 26,55184;
01.07.2016 16:53:14,   ; 835    ; 15,65248;
01.07.2016 16:53:15,   ; 860    ; 19,97499;
01.07.2016 16:53:16,   ; 869    ; 19,41649;
01.07.2016 16:53:16,   ; 845    ; 18,02776;
01.07.2016 16:53:17,   ; 877    ; 24,05722;
01.07.2016 16:53:18,   ; 876    ; 24,01562;
01.07.2016 16:53:19,   ; 888    ; 21,36586;
01.07.2016 16:53:20,   ; 888    ; 20,8866;
01.07.2016 16:53:21,   ; 902    ; 18,47295;
01.07.2016 16:53:22,   ; 898    ; 9,447222;
01.07.2016 16:53:23,   ; 902    ; 9,643651;
01.07.2016 16:53:23,   ; 886    ; 11;
01.07.2016 16:53:24,   ; 872    ; 13,0384;
01.07.2016 16:53:25,   ; 881    ; 11,88486;
01.07.2016 16:53:26,   ; 850    ; 19,42936;
01.07.2016 16:53:27,   ; 848    ; 19,352;
01.07.2016 16:53:28,   ; 822    ; 21,89749;
01.07.2016 16:53:28,   ; 812    ; 21,34245;
01.07.2016 16:53:29,   ; 798    ; 22,00568;
01.07.2016 16:53:30,   ; 809    ; 16,5605;
01.07.2016 16:53:31,   ; 870    ; 34,6915;
01.07.2016 16:53:32,   ; 912    ; 38,41224;
01.07.2016 16:53:33,   ; 890    ; 39,64215;
01.07.2016 16:53:33,   ; 925    ; 42,76389;
01.07.2016 16:53:34,   ; 933    ; 42,59695;
01.07.2016 16:53:35,   ; 920    ; 30,43846;
01.07.2016 16:53:36,   ; 952    ; 27,2305;
01.07.2016 16:53:37,   ; 964    ; 25,62226;
01.07.2016 16:53:38,   ; 969    ; 18,88121;
01.07.2016 16:53:39,   ; 982    ; 19,564;
01.07.2016 16:53:40,   ; 946    ; 25,7779;
01.07.2016 16:53:41,   ; 928    ; 22,12465;
01.07.2016 16:53:42,   ; 917    ; 21,99432;
01.07.2016 16:53:43,   ; 909    ; 22,21486;
01.07.2016 16:53:44,   ; 980    ; 41,37028;
01.07.2016 16:53:45,   ; 978    ; 37,26258;
01.07.2016 16:53:45,   ; 904    ; 51,7349;
01.07.2016 16:53:46,   ; 929    ; 52,93864;
01.07.2016 16:53:47,   ; 941    ; 53,1272;
01.07.2016 16:53:48,   ; 933    ; 39,7272;
01.07.2016 16:53:49,   ; 856    ; 55,31275;
01.07.2016 16:53:50,   ; 877    ; 42,43525;
01.07.2016 16:53:51,   ; 835    ; 45,66727;
01.07.2016 16:53:51,   ; 821    ; 45,80939;
01.07.2016 16:53:52,   ; 790    ; 48,19492;
01.07.2016 16:53:53,   ; 760    ; 32,642;
01.07.2016 16:53:54,   ; 785    ; 33,33916;
01.07.2016 16:53:54,   ; 781    ; 25,97114;
01.07.2016 16:53:55,   ; 804    ; 27,52726;
01.07.2016 16:53:56,   ; 796    ; 23,09762;
01.07.2016 16:53:57,   ; 783    ; 18,72832;
01.07.2016 16:53:58,   ; 799    ; 16,07793;
01.07.2016 16:53:58,   ; 801    ; 15,98437;
01.07.2016 16:53:59,   ; 820    ; 14,61164;
01.07.2016 16:54:00,   ; 814    ; 14,37011;
01.07.2016 16:54:01,   ; 805    ; 13,58308;
01.07.2016 16:54:02,   ; 801    ; 11,15796;
