04.07.2016 18:45:49,UV: 5;
04.07.2016 18:45:49, Vorhermessung;
04.07.2016 18:47:20,   ; 973    ; 16,56804;
04.07.2016 18:47:21,   ; 957    ; 17,70593;
04.07.2016 18:47:22,   ; 973    ; 16,94845;
04.07.2016 18:47:23,   ; 968    ; 16,94845;
04.07.2016 18:47:24,   ; 930    ; 22,45551;
04.07.2016 18:47:25,   ; 930    ; 22,25421;
04.07.2016 18:47:26,   ; 936    ; 20,98214;
04.07.2016 18:47:27,   ; 957    ; 22,05675;
04.07.2016 18:47:28,   ; 975    ; 23,69072;
04.07.2016 18:47:28,   ; 961    ; 15,78765;
04.07.2016 18:47:29,   ; 949    ; 16,88935;
04.07.2016 18:47:30,   ; 952    ; 16,68832;
04.07.2016 18:47:31,   ; 973    ; 16,68832;
04.07.2016 18:47:32,   ; 995    ; 17,84657;
04.07.2016 18:47:33,   ; 994    ; 16,42407;
04.07.2016 18:47:34,   ; 958    ; 23,61673;
04.07.2016 18:47:35,   ; 943    ; 24,73358;
04.07.2016 18:47:36,   ; 947    ; 22,48333;
04.07.2016 18:47:37,   ; 965    ; 21,57545;
04.07.2016 18:47:38,   ; 986    ; 23,98958;
04.07.2016 18:47:39,   ; 981    ; 16,05459;
04.07.2016 18:47:40,   ; 951    ; 20,65188;
04.07.2016 18:47:41,   ; 948    ; 20,60946;
04.07.2016 18:47:42,   ; 969    ; 21,30728;
04.07.2016 18:47:43,   ; 983    ; 19,81792;
04.07.2016 18:47:44,   ; 945    ; 27,34045;
04.07.2016 18:47:44,   ; 955    ; 23,39872;
04.07.2016 18:47:45,   ; 953    ; 23,37199;
04.07.2016 18:47:46,   ; 981    ; 25,13961;
04.07.2016 18:47:47,   ; 992    ; 24,76389;
04.07.2016 18:47:48,   ; 971    ; 19,03943;
04.07.2016 18:47:49,   ; 962    ; 18,91428;
04.07.2016 18:47:50,   ; 959    ; 18,9473;
04.07.2016 18:47:51,   ; 963    ; 12,92285;
04.07.2016 18:47:52,   ; 987    ; 16,7556;
04.07.2016 18:47:53,   ; 937    ; 28,20461;
04.07.2016 18:47:54,   ; 926    ; 28,38133;
04.07.2016 18:47:55,   ; 911    ; 29,31723;
04.07.2016 18:47:56,   ; 959    ; 37,83517;
04.07.2016 18:47:57,   ; 975    ; 36,76275;
04.07.2016 18:47:58,   ; 953    ; 29,11185;
04.07.2016 18:47:59,   ; 952    ; 28,59196;
04.07.2016 18:47:59,   ; 943    ; 27,95532;
04.07.2016 18:48:00,   ; 958    ; 16,17869;
04.07.2016 18:48:01,   ; 986    ; 19,84313;
04.07.2016 18:48:02,   ; 954    ; 22,99456;
04.07.2016 18:48:03,   ; 943    ; 23,63789;
04.07.2016 18:48:04,   ; 948    ; 23,33988;
04.07.2016 18:48:05,   ; 965    ; 23,68016;
04.07.2016 18:48:06,   ; 1005    ; 27,65411;
04.07.2016 18:48:07,   ; 1003    ; 22,57764;
04.07.2016 18:48:08,   ; 970    ; 27,41806;
04.07.2016 18:48:09,   ; 987    ; 28,59633;
04.07.2016 18:48:10,   ; 977    ; 27,75788;
04.07.2016 18:48:11,   ; 1002    ; 22,95103;
04.07.2016 18:48:12,   ; 981    ; 25,21904;
04.07.2016 18:48:13,   ; 950    ; 24,57641;
04.07.2016 18:48:14,   ; 947    ; 23,10844;
04.07.2016 18:48:15,   ; 964    ; 24,10913;
04.07.2016 18:48:16,   ; 1006    ; 29,42788;
04.07.2016 18:48:17,   ; 985    ; 29,42788;
04.07.2016 18:48:17,   ; 945    ; 32,02733;
04.07.2016 18:48:18,   ; 942    ; 32,02733;
04.07.2016 18:48:19,   ; 943    ; 30,88284;
04.07.2016 18:48:20,   ; 971    ; 26,62236;
04.07.2016 18:48:21,   ; 972    ; 24,46937;
04.07.2016 18:48:22,   ; 945    ; 19,51922;
04.07.2016 18:48:23,   ; 946    ; 19,46792;
04.07.2016 18:48:24,   ; 940    ; 19,69137;
04.07.2016 18:48:25,   ; 945    ; 14,07125;
04.07.2016 18:48:26,   ; 950    ; 14,28286;
04.07.2016 18:48:27,   ; 962    ; 7,599342;
04.07.2016 18:48:28,   ; 953    ; 8,817596;
